date,ticker,rank,score,signal,nikkei_uptrend,up_prob,flat_prob,down_prob,price,take_profit,stop_loss,return,hold_days,result,exit_price
2022-02-08,8031.T,1,51.47,🔴 買わない,False,39.69,31.4,28.91,1297.0904541015625,1379.0,1256.0,1.054,5,HOLD,1310.7623291015625
2022-02-08,8058.T,2,51.27,🔴 買わない,False,39.03,31.9,29.08,1160.03564453125,1242.0,1119.0,-0.5986,5,TIMEOUT_LOSS,1153.0911865234375
2022-02-08,8306.T,3,49.63,🔴 買わない,False,33.55,34.57,31.89,641.1965942382812,683.0,620.0,-0.7717,5,TIMEOUT_LOSS,636.2484741210938
2022-02-09,8031.T,1,51.0,🔴 買わない,False,38.13,29.85,32.02,1307.72412109375,1388.0,1268.0,2.8211,5,HOLD,1344.616455078125
2022-02-09,8058.T,2,50.62,🔴 買わない,False,36.85,30.46,32.69,1171.0313720703125,1252.0,1130.0,1.8038,5,HOLD,1192.154541015625
2022-02-09,9509.T,3,49.79,🟡 監視(拮抗),False,34.1,32.72,33.18,466.00946044921875,494.0,452.0,-1.9493,5,TIMEOUT_LOSS,456.9253845214844
2022-02-10,5803.T,1,63.15,🔴 買わない,False,27.9,36.06,36.04,101.12751007080078,113.0,95.0,-1.9146,5,TIMEOUT_LOSS,99.19136047363281
2022-02-10,8031.T,2,52.66,🟡 監視(拮抗),False,33.5,33.07,33.43,1316.40478515625,1396.0,1276.0,2.209,5,HOLD,1345.484375
2022-02-10,9509.T,3,52.13,🟡 監視(拮抗),False,31.73,35.71,32.56,464.1926574707031,491.0,451.0,-0.7828,5,TIMEOUT_LOSS,460.55902099609375
2022-02-14,8031.T,1,47.86,🔴 買わない,False,37.79,29.48,32.73,1328.1234130859375,1410.0,1287.0,-3.0964,1,LOSS,1287.0
2022-02-14,8058.T,2,47.73,🔴 買わない,False,37.36,30.56,32.09,1174.21435546875,1253.0,1135.0,-2.5875,5,TIMEOUT_LOSS,1143.83154296875
2022-02-14,9509.T,3,47.2,🟡 監視(拮抗),False,35.58,29.1,35.32,459.650634765625,487.0,446.0,0.5929,5,HOLD,462.3758544921875
2022-02-15,8031.T,1,47.64,🔴 買わない,False,37.07,31.66,31.27,1286.4566650390625,1374.0,1243.0,-1.6194,5,TIMEOUT_LOSS,1265.6234130859375
2022-02-15,8058.T,2,47.36,🔴 買わない,False,36.11,31.09,32.8,1147.0145263671875,1229.0,1106.0,-3.5758,5,LOSS,1106.0
2022-02-15,9509.T,3,47.35,🔴 買わない,False,36.11,31.19,32.71,460.55902099609375,487.0,447.0,0.5917,5,HOLD,463.28424072265625
2022-02-16,8058.T,1,48.8,🔴 買わない,False,30.78,36.94,32.29,1153.0911865234375,1235.0,1112.0,-3.5636,4,LOSS,1112.0
2022-02-16,9509.T,2,48.78,🔴 買わない,False,30.71,35.2,34.08,460.55902099609375,486.0,448.0,-1.7751,5,TIMEOUT_LOSS,452.3834533691406
2022-02-16,8031.T,3,48.58,🔴 買わない,False,30.06,38.27,31.67,1310.7623291015625,1401.0,1265.0,-3.4913,4,LOSS,1265.0
2022-02-17,8058.T,1,60.06,🔴 買わない,False,37.9,30.45,31.65,1192.154541015625,1275.0,1151.0,-3.4521,2,LOSS,1151.0
2022-02-17,8031.T,2,47.33,🔴 買わない,False,36.04,31.7,32.27,1344.616455078125,1433.0,1300.0,-3.3182,3,LOSS,1300.0
2022-02-17,8306.T,3,45.34,🔴 買わない,False,29.39,37.61,33.0,630.2767333984375,673.0,609.0,-3.3758,4,LOSS,609.0
2022-02-18,9509.T,1,47.27,🔴 買わない,False,35.82,29.75,34.44,460.55902099609375,484.0,449.0,0.0,5,HOLD,460.55902099609375
2022-02-18,8058.T,2,46.99,🔴 買わない,False,34.91,31.21,33.88,1183.4737548828125,1263.0,1144.0,-3.3354,1,LOSS,1144.0
2022-02-18,8031.T,3,46.47,🔴 買わない,False,33.17,30.62,36.21,1345.484375,1435.0,1300.0,-3.3805,2,LOSS,1300.0
2022-02-22,9509.T,1,47.98,🔴 買わない,False,38.21,30.25,31.55,462.3758544921875,483.0,452.0,-2.244,2,LOSS,452.0
2022-02-22,8031.T,2,46.34,🔴 買わない,False,32.71,37.15,30.13,1314.6685791015625,1409.0,1268.0,-3.5498,1,LOSS,1268.0
2022-02-22,5803.T,3,45.06,🟡 監視(拮抗),False,28.46,43.47,28.07,96.21263885498047,107.0,91.0,-5.4178,1,LOSS,91.0
2022-02-24,9509.T,1,48.7,🟡 監視,False,40.59,28.7,30.71,463.28424072265625,484.0,453.0,-2.2199,1,LOSS,453.0
2022-02-24,8058.T,2,43.67,🟡 監視(拮抗),False,33.96,31.15,34.89,1094.9302978515625,1185.0,1050.0,6.5275,5,HOLD,1166.401611328125
2022-02-24,8306.T,3,32.09,🔴 買わない,False,35.96,31.52,32.52,616.541748046875,661.0,594.0,-3.6562,2,LOSS,594.0
2022-02-25,9509.T,1,32.65,🔴 買わない,False,37.83,29.56,32.61,452.3834533691406,473.0,442.0,4.5573,4,WIN,473.0
2022-02-25,8058.T,2,30.54,🔴 買わない,False,30.79,35.54,33.67,1140.938232421875,1227.0,1098.0,2.4093,5,HOLD,1168.427001953125
2022-02-25,8031.T,3,30.22,🔴 買わない,False,29.74,35.79,34.48,1299.6944580078125,1399.0,1250.0,-3.8235,1,LOSS,1250.0
2022-02-28,8031.T,1,41.49,🔴 買わない,False,26.72,43.53,29.75,1243.705078125,1352.0,1189.0,7.2064,5,HOLD,1333.33154296875
2022-02-28,9509.T,2,32.03,🔴 買わない,False,35.75,34.92,29.33,457.83380126953125,479.0,447.0,4.6231,4,WIN,479.0
2022-02-28,8058.T,3,29.57,🔴 買わない,False,27.57,41.05,31.38,1120.1043701171875,1204.0,1078.0,7.49,5,WIN,1204.0
2022-03-01,9501.T,1,41.9,🔴 買わない,False,28.06,33.05,38.9,388.0,423.0,370.0,-4.6392,3,LOSS,370.0
2022-03-01,8031.T,2,41.44,🔴 買わない,False,26.54,34.11,39.35,1226.5609130859375,1337.0,1171.0,9.004,4,WIN,1337.0
2022-03-01,9509.T,3,31.92,🔴 買わない,False,35.39,31.3,33.32,460.55902099609375,482.0,450.0,0.789,5,HOLD,464.1926574707031
2022-03-02,9509.T,1,60.32,🔴 買わない,False,38.74,29.97,31.28,466.00946044921875,488.0,455.0,-2.3625,5,LOSS,455.0
2022-03-02,7203.T,2,53.35,🔴 買わない,False,29.73,36.93,33.33,1790.33642578125,1947.0,1712.0,-4.3755,3,LOSS,1712.0
2022-03-02,9501.T,3,44.85,🔴 買わない,False,27.77,35.28,36.94,385.0,421.0,367.0,-4.6753,2,LOSS,367.0
2022-03-03,9509.T,1,64.69,🟡 監視,False,43.16,32.79,24.05,473.276611328125,495.0,462.0,-2.3827,3,LOSS,462.0
2022-03-03,9501.T,2,47.88,🔴 買わない,False,27.72,41.18,31.1,388.0,426.0,369.0,-4.8969,1,LOSS,369.0
2022-03-03,8058.T,3,33.49,🔴 買わない,False,30.48,42.83,26.69,1166.401611328125,1261.0,1119.0,1.4637,5,HOLD,1183.4737548828125
2022-03-04,9509.T,1,61.77,🟡 監視,False,43.56,27.92,28.52,478.72705078125,502.0,467.0,-2.4496,2,LOSS,467.0
2022-03-04,9501.T,2,57.64,🔴 買わない,False,29.82,34.61,35.57,374.0,417.0,352.0,-5.8824,3,LOSS,352.0
2022-03-04,7203.T,3,53.1,🔴 買わない,False,28.87,35.54,35.59,1733.6885986328125,1883.0,1659.0,-4.3081,1,LOSS,1659.0
2022-03-07,8058.T,1,60.17,🔴 買わない,False,38.25,30.88,30.87,1205.7540283203125,1309.0,1154.0,-4.2923,1,LOSS,1154.0
2022-03-07,9509.T,2,49.93,🟡 監視,False,44.71,25.75,29.54,474.1850280761719,497.0,463.0,-2.3588,1,LOSS,463.0
2022-03-07,7203.T,3,48.14,🔴 買わない,False,28.59,38.91,32.5,1620.392822265625,1780.0,1540.0,3.7398,5,HOLD,1680.9930419921875
2022-03-08,8058.T,1,59.25,🔴 買わない,False,35.17,33.82,31.02,1147.882568359375,1258.0,1093.0,4.1845,5,HOLD,1195.9158935546875
2022-03-08,9509.T,2,48.65,🟡 監視,False,40.42,28.18,31.4,464.1926574707031,488.0,452.0,-2.6266,1,LOSS,452.0
2022-03-08,5803.T,3,35.83,🔴 買わない,False,28.14,38.94,32.92,76.10626983642578,87.0,71.0,4.3053,5,HOLD,79.38286590576172
2022-03-09,9509.T,1,52.06,🔴 買わない,False,25.41,28.56,46.04,419.6810302734375,452.0,403.0,4.9784,5,HOLD,440.5742492675781
2022-03-09,5803.T,2,34.7,🔴 買わない,False,24.35,38.33,37.32,74.914794921875,86.0,69.0,6.7594,5,HOLD,79.97860717773438
2022-03-09,7269.T,3,33.34,🔴 買わない,False,19.83,33.82,46.35,803.0911254882812,921.0,744.0,11.2808,5,HOLD,893.6858520507812
2022-03-10,8058.T,1,45.1,🟡 監視(拮抗),False,28.6,42.84,28.56,1183.4737548828125,1296.0,1127.0,3.9609,5,HOLD,1230.3499755859375
2022-03-10,9509.T,2,37.81,🔴 買わない,False,28.64,37.38,33.97,428.7649841308594,463.0,412.0,-3.9101,2,LOSS,412.0
2022-03-10,7269.T,3,34.68,🔴 買わない,False,24.3,48.38,27.32,874.1591796875,1002.0,810.0,6.7273,5,HOLD,932.96630859375
2022-03-11,8058.T,1,46.31,🔴 買わない,False,32.63,39.48,27.89,1203.4393310546875,1318.0,1146.0,3.2941,5,HOLD,1243.0816650390625
2022-03-11,8031.T,2,45.29,🔴 買わない,False,29.23,39.71,31.06,1319.0087890625,1457.0,1250.0,3.126,5,HOLD,1360.2413330078125
2022-03-11,9509.T,3,41.34,🔴 買わない,False,30.25,41.12,28.63,423.31463623046875,458.0,406.0,4.721,5,HOLD,443.2994689941406
2022-03-14,8058.T,1,47.69,🔴 買わない,False,27.07,42.62,30.3,1212.4095458984375,1327.0,1155.0,9.4515,5,WIN,1327.0
2022-03-14,8031.T,2,47.06,🔴 買わない,False,24.98,44.28,30.74,1336.8040771484375,1476.0,1267.0,8.1818,5,HOLD,1446.1787109375
2022-03-14,8306.T,3,33.32,🔴 買わない,False,29.92,36.1,33.98,617.3948364257812,674.0,589.0,9.1684,5,WIN,674.0
2022-03-15,8031.T,1,48.1,🔴 買わない,False,28.44,40.28,31.27,1292.75,1436.0,1221.0,11.081,4,WIN,1436.0
2022-03-15,8306.T,2,47.62,🔴 買わない,False,26.85,44.72,28.42,626.779052734375,683.0,599.0,8.9698,4,WIN,683.0
2022-03-15,8058.T,3,47.37,🔴 買わない,False,26.02,46.08,27.9,1195.9158935546875,1309.0,1139.0,9.4559,4,WIN,1309.0
2022-03-16,8306.T,1,48.14,🟡 監視(拮抗),False,28.57,43.81,27.62,631.3005981445312,685.0,604.0,8.5062,3,WIN,685.0
2022-03-16,8058.T,2,47.92,🔴 買わない,False,27.86,47.62,24.52,1210.0946044921875,1316.0,1157.0,8.7518,3,WIN,1316.0
2022-03-16,8031.T,3,32.95,🔴 買わない,False,28.68,44.98,26.33,1305.9879150390625,1443.0,1237.0,10.4911,3,WIN,1443.0
2022-03-17,8306.T,1,51.96,🔴 買わない,False,31.18,40.29,28.53,647.5948486328125,702.0,620.0,8.4011,3,WIN,702.0
2022-03-17,8058.T,2,50.8,🔴 買わない,False,27.31,46.55,26.14,1230.3499755859375,1331.0,1180.0,8.1806,2,WIN,1331.0
2022-03-17,8031.T,3,50.51,🟡 監視(拮抗),False,26.33,47.37,26.3,1348.522705078125,1488.0,1279.0,9.6556,5,HOLD,1478.730712890625
2022-03-18,8058.T,1,52.78,🔴 買わない,False,33.9,38.72,27.38,1243.0816650390625,1343.0,1193.0,8.038,3,WIN,1343.0
2022-03-18,8306.T,2,52.28,🔴 買わない,False,32.25,39.23,28.53,649.301025390625,702.0,623.0,8.1163,2,WIN,702.0
2022-03-18,8031.T,3,51.76,🔴 買わない,False,30.5,41.22,28.28,1360.2413330078125,1489.0,1296.0,7.0836,5,HOLD,1456.595458984375
2022-03-22,8306.T,1,64.56,🔴 買わない,False,32.59,37.58,29.83,685.8994140625,743.0,657.0,-1.0199,5,TIMEOUT_LOSS,678.904052734375
2022-03-22,9501.T,2,63.22,🔴 買わない,False,28.12,42.16,29.72,387.0,440.0,360.0,1.8088,5,HOLD,394.0
2022-03-22,8058.T,3,52.15,🟡 監視(拮抗),False,31.8,37.11,31.08,1328.7314453125,1441.0,1273.0,2.6568,5,HOLD,1364.0330810546875
2022-03-23,8306.T,1,53.23,🔴 買わない,False,35.4,37.47,27.12,688.1175537109375,746.0,659.0,-2.0335,5,TIMEOUT_LOSS,674.1246948242188
2022-03-23,8058.T,2,53.17,🔴 買わない,False,35.19,37.24,27.57,1333.3612060546875,1446.0,1277.0,2.2121,5,HOLD,1362.8558349609375
2022-03-23,9501.T,3,52.1,🔴 買わない,False,31.65,41.15,27.19,388.0,443.0,361.0,5.9278,5,HOLD,411.0
2022-03-24,8058.T,1,52.36,🔴 買わない,False,32.49,40.23,27.28,1342.6204833984375,1452.0,1288.0,0.8496,5,HOLD,1354.027099609375
2022-03-24,8306.T,2,51.28,🔴 買わない,False,28.89,45.99,25.12,681.5486450195312,737.0,654.0,-3.0654,5,TIMEOUT_LOSS,660.6563110351562
2022-03-24,8031.T,3,51.04,🟡 監視(拮抗),False,28.09,44.18,27.73,1461.8038330078125,1596.0,1395.0,0.5965,5,HOLD,1470.5235595703125
2022-03-25,8058.T,1,51.69,🔴 買わない,False,30.28,45.3,24.42,1355.930908203125,1464.0,1302.0,-0.8349,5,TIMEOUT_LOSS,1344.60986328125
2022-03-25,8031.T,2,51.05,🔴 買わない,False,28.15,47.11,24.74,1478.730712890625,1608.0,1414.0,-1.5112,5,TIMEOUT_LOSS,1456.3837890625
2022-03-25,8306.T,3,50.24,🔴 買わない,False,25.45,52.66,21.89,678.3922119140625,733.0,651.0,-1.2823,5,TIMEOUT_LOSS,669.693115234375
2022-03-28,8058.T,1,51.27,🔴 買わない,False,28.87,45.81,25.32,1358.53515625,1463.0,1306.0,-2.2598,5,TIMEOUT_LOSS,1327.8353271484375
2022-03-28,8031.T,2,51.05,🔴 買わない,False,28.13,45.3,26.57,1456.595458984375,1582.0,1394.0,-1.319,5,TIMEOUT_LOSS,1437.3836669921875
2022-03-28,8306.T,3,50.48,🔴 買わない,False,26.24,50.9,22.86,672.42041015625,727.0,645.0,-0.7028,5,TIMEOUT_LOSS,667.6946411132812
2022-03-29,8058.T,1,52.12,🔴 買わない,False,31.72,41.24,27.05,1364.0330810546875,1456.0,1318.0,-3.3748,5,LOSS,1318.0
2022-03-29,8031.T,2,51.49,🔴 買わない,False,29.62,44.85,25.53,1468.314208984375,1578.0,1414.0,-3.6991,5,LOSS,1414.0
2022-03-29,9501.T,3,50.93,🔴 買わない,False,27.72,49.4,22.88,394.0,439.0,371.0,-1.5228,5,TIMEOUT_LOSS,388.0
2022-03-30,9501.T,1,61.87,🔴 買わない,False,33.77,37.32,28.92,411.0,456.0,388.0,-5.5961,2,LOSS,388.0
2022-03-30,8058.T,2,49.02,🔴 買わない,False,31.51,39.27,29.22,1362.8558349609375,1453.0,1318.0,-3.2913,4,LOSS,1318.0
2022-03-30,8031.T,3,48.13,🟡 監視(拮抗),False,28.54,42.25,29.21,1466.104736328125,1576.0,1411.0,-3.7586,4,LOSS,1411.0
2022-03-31,9501.T,1,49.56,🟡 監視(拮抗),False,33.32,34.12,32.57,403.0,450.0,380.0,-5.7072,4,LOSS,380.0
2022-03-31,8031.T,2,48.82,🔴 買わない,False,30.86,33.67,35.47,1470.5235595703125,1584.0,1414.0,-3.8438,3,LOSS,1414.0
2022-03-31,8058.T,3,48.73,🔴 買わない,False,30.56,35.21,34.23,1354.027099609375,1444.0,1309.0,-3.3254,3,LOSS,1309.0
2022-04-01,8058.T,1,48.33,🔴 買わない,False,29.22,39.5,31.28,1344.60986328125,1434.0,1300.0,-3.3177,2,LOSS,1300.0
2022-04-01,8031.T,2,47.94,🔴 買わない,False,27.91,38.98,33.11,1456.3837890625,1572.0,1399.0,-3.9402,2,LOSS,1399.0
2022-04-01,8306.T,3,47.76,🔴 買わない,False,27.33,44.32,28.35,669.693115234375,720.0,644.0,-3.8366,4,LOSS,644.0
2022-04-04,8058.T,1,47.83,🟡 監視(拮抗),False,27.55,44.95,27.5,1327.8353271484375,1419.0,1282.0,-3.4519,3,LOSS,1282.0
2022-04-04,8306.T,2,47.64,🔴 買わない,False,26.9,44.88,28.21,667.6946411132812,715.0,644.0,-3.5487,3,LOSS,644.0
2022-04-04,8031.T,3,47.41,🔴 買わない,False,26.16,44.74,29.1,1437.3836669921875,1552.0,1380.0,-3.9922,3,LOSS,1380.0
2022-04-05,9501.T,1,46.08,🔴 買わない,False,21.71,58.34,19.94,388.0,437.0,363.0,12.6289,4,WIN,437.0
2022-04-05,6613.T,2,40.16,🔴 買わない,False,32.42,38.55,29.03,692.0,798.0,639.0,-7.659,2,LOSS,639.0
2022-04-05,9509.T,3,36.32,🔴 買わない,False,29.78,35.4,34.82,448.5121765136719,481.0,432.0,0.2066,5,HOLD,449.43890380859375
2022-04-06,6613.T,1,41.07,🔴 買わない,False,35.46,34.47,30.06,662.0,773.0,607.0,-8.3082,3,LOSS,607.0
2022-04-06,7203.T,2,36.55,🔴 買わない,False,30.53,36.81,32.66,1947.5107421875,2086.0,1878.0,-3.5692,2,LOSS,1878.0
2022-04-06,8306.T,3,34.16,🔴 買わない,False,32.72,35.92,31.37,655.268798828125,703.0,631.0,-0.9813,5,TIMEOUT_LOSS,648.8387451171875
2022-04-07,7203.T,1,34.37,🟡 監視(拮抗),False,33.42,33.04,33.54,1928.3914794921875,2064.0,1861.0,-3.4947,1,LOSS,1861.0
2022-04-07,8306.T,2,31.21,🟡 監視(拮抗),False,33.02,33.02,33.96,644.8414306640625,692.0,621.0,0.9837,5,HOLD,651.1846923828125
2022-04-07,8058.T,3,30.96,🔴 買わない,False,32.17,32.46,35.36,1272.5089111328125,1369.0,1224.0,-3.8121,1,LOSS,1224.0
2022-04-08,7203.T,1,41.15,🔴 買わない,False,29.63,35.15,35.22,1863.474609375,2010.0,1790.0,2.8394,5,HOLD,1916.386474609375
2022-04-08,8058.T,2,38.74,🔴 買わない,False,31.75,34.12,34.13,1226.5997314453125,1329.0,1175.0,5.9741,5,HOLD,1299.8778076171875
2022-04-08,7269.T,3,36.78,🔴 買わない,False,31.29,33.86,34.86,891.5723266601562,971.0,852.0,0.3605,5,HOLD,894.7860107421875
2022-04-11,9501.T,1,58.79,🔴 買わない,False,33.64,35.61,30.75,444.0,499.0,417.0,-6.0811,1,LOSS,417.0
2022-04-11,8306.T,2,31.19,🔴 買わない,False,32.95,35.99,31.06,660.0479125976562,703.0,638.0,-0.5661,5,TIMEOUT_LOSS,656.3114624023438
2022-04-11,8058.T,3,30.8,🔴 買わない,False,31.65,35.6,32.75,1252.4970703125,1344.0,1207.0,6.1795,5,HOLD,1329.8953857421875
2022-04-12,9501.T,1,58.79,🟡 監視(拮抗),False,33.65,32.9,33.45,427.0,490.0,396.0,14.7541,4,WIN,490.0
2022-04-12,8306.T,2,31.97,🔴 買わない,False,35.55,32.79,31.66,658.0493774414062,700.0,637.0,2.258,5,HOLD,672.9082641601562
2022-04-12,8031.T,3,31.24,🟡 監視(拮抗),False,33.12,34.66,32.22,1365.8017578125,1458.0,1320.0,6.7505,5,WIN,1458.0
2022-04-13,9501.T,1,58.14,🔴 買わない,False,31.47,33.72,34.81,435.0,500.0,403.0,7.5862,5,HOLD,468.0
2022-04-13,8031.T,2,31.37,🟡 監視(拮抗),False,33.56,33.85,32.59,1398.94140625,1493.0,1352.0,3.8534,5,HOLD,1452.8487548828125
2022-04-13,8058.T,3,31.2,🟡 監視(拮抗),False,32.99,33.29,33.71,1263.0916748046875,1354.0,1218.0,4.7297,5,HOLD,1322.832275390625
2022-04-14,9501.T,1,63.57,🟡 監視(拮抗),False,29.28,40.63,30.09,477.0,550.0,440.0,-2.7254,5,TIMEOUT_LOSS,464.0
2022-04-14,9984.T,2,41.67,🔴 買わない,False,27.31,47.34,25.36,1408.6383056640625,1539.0,1344.0,-4.5887,5,LOSS,1344.0
2022-04-14,9509.T,3,39.91,🔴 買わない,False,31.58,37.85,30.57,461.4857177734375,493.0,446.0,-0.6024,5,TIMEOUT_LOSS,458.7056579589844
2022-04-18,9501.T,1,45.01,🔴 買わない,False,28.31,39.64,32.06,472.0,549.0,433.0,-4.661,5,TIMEOUT_LOSS,450.0
2022-04-18,9509.T,2,34.3,🟡 監視(拮抗),False,33.16,34.4,32.44,454.99896240234375,487.0,439.0,-0.2037,5,TIMEOUT_LOSS,454.07232666015625
2022-04-18,8306.T,3,31.53,🔴 買わない,False,34.08,34.87,31.05,653.5309448242188,693.0,634.0,-0.133,5,TIMEOUT_LOSS,652.6619262695312
2022-04-19,9501.T,1,47.54,🔴 買わない,True,26.58,42.89,30.53,487.0,566.0,448.0,-8.0082,4,LOSS,448.0
2022-04-19,9509.T,2,38.07,🔴 買わない,True,35.6,37.09,27.31,461.4857177734375,492.0,446.0,-1.4056,5,TIMEOUT_LOSS,454.99896240234375
2022-04-19,8306.T,3,34.59,🔴 買わない,True,34.13,37.35,28.52,656.3114624023438,694.0,637.0,-1.4696,5,TIMEOUT_LOSS,646.666259765625
2022-04-20,9501.T,1,50.67,🔴 買わない,True,26.86,40.88,32.27,489.0,568.0,449.0,-8.18,3,LOSS,449.0
2022-04-20,7203.T,2,41.54,🔴 買わない,True,37.02,29.81,33.17,2008.426025390625,2146.0,1940.0,-3.4069,3,LOSS,1940.0
2022-04-20,9509.T,3,41.07,🔴 買わない,True,35.45,33.97,30.58,467.9724426269531,498.0,453.0,-3.1994,3,LOSS,453.0
2022-04-21,8031.T,1,52.09,🔴 買わない,True,31.6,34.22,34.18,1452.8487548828125,1539.0,1410.0,-2.9493,2,LOSS,1410.0
2022-04-21,7203.T,2,51.71,🔴 買わない,True,30.34,34.66,35.0,2000.8673095703125,2131.0,1936.0,-3.242,2,LOSS,1936.0
2022-04-21,9501.T,3,49.95,🔴 買わない,True,24.47,50.67,24.86,468.0,550.0,427.0,-4.2735,5,TIMEOUT_LOSS,448.0
2022-04-22,7203.T,1,51.58,🔴 買わない,True,29.9,34.48,35.62,1965.29638671875,2101.0,1897.0,0.8145,5,HOLD,1981.3035888671875
2022-04-22,9501.T,2,49.29,🔴 買わない,True,22.27,56.77,20.96,464.0,546.0,423.0,-1.7241,5,TIMEOUT_LOSS,456.0
2022-04-22,9509.T,3,40.16,🟡 監視(拮抗),True,32.42,34.45,33.13,458.7056579589844,488.0,444.0,-3.2059,4,LOSS,444.0
2022-04-25,7203.T,1,45.25,🔴 買わない,True,29.08,32.14,38.77,1947.5107421875,2089.0,1877.0,3.927,5,HOLD,2023.98876953125
2022-04-25,9501.T,2,44.31,🔴 買わない,True,25.96,46.22,27.82,450.0,534.0,408.0,17.7778,5,HOLD,530.0
2022-04-25,9509.T,3,34.29,🟡 監視(拮抗),True,33.13,33.7,33.17,454.07232666015625,483.0,440.0,-3.0991,3,LOSS,440.0
2022-04-26,7203.T,1,45.19,🔴 買わない,True,28.9,34.88,36.22,1938.6182861328125,2079.0,1868.0,2.9816,5,HOLD,1996.4207763671875
2022-04-26,9509.T,2,33.86,🔴 買わない,True,31.7,34.83,33.48,454.99896240234375,483.0,441.0,-3.0767,2,LOSS,441.0
2022-04-26,8306.T,3,31.74,🔴 買わない,True,34.78,33.03,32.19,646.666259765625,684.0,628.0,2.5128,5,HOLD,662.9154052734375
2022-04-27,8058.T,1,43.48,🔴 買わない,True,33.33,30.04,36.63,1248.965576171875,1336.0,1205.0,-2.7568,5,TIMEOUT_LOSS,1214.5338134765625
2022-04-27,7269.T,2,36.37,🔴 買わない,True,29.94,31.25,38.81,901.2135009765625,976.0,864.0,-4.1293,1,LOSS,864.0
