strategy,folds_seen,positive_oos_folds,oos_signals_total,oos_pf_mean,oos_pf_min,oos_avg_return_mean,oos_monthly_positive_ratio_mean,oos_worst_dd,oos_compound_return,gates_passed,gates_total,failure_reasons
UP20_SCORE80_NIKKEION_TP3.5_SL1.75_H1,2,2,107,7.4367199886770265,2.5186881838808994,3.7408053529173784,56.73076923076923,-25.586218940812245,7.594491808214343,5,6,fold数不足(2/4)
UP25_SCORE80_NIKKEION_TP3.5_SL1.75_H1,2,2,107,7.4367199886770265,2.5186881838808994,3.7408053529173784,56.73076923076923,-25.586218940812245,7.594491808214343,5,6,fold数不足(2/4)
UP30_SCORE80_NIKKEION_TP3.5_SL1.75_H1,2,2,107,7.4367199886770265,2.5186881838808994,3.7408053529173784,56.73076923076923,-25.586218940812245,7.594491808214343,5,6,fold数不足(2/4)
UP20_SCORE80_NIKKEION_TP3.5_SL2.0_H1,2,2,107,6.7833694251651115,2.341535446613133,3.7079340212471426,56.73076923076923,-28.521572539236296,7.526787168522575,5,6,fold数不足(2/4)
UP25_SCORE80_NIKKEION_TP3.5_SL2.0_H1,2,2,107,6.7833694251651115,2.341535446613133,3.7079340212471426,56.73076923076923,-28.521572539236296,7.526787168522575,5,6,fold数不足(2/4)
UP30_SCORE80_NIKKEION_TP3.5_SL2.0_H1,2,2,107,6.7833694251651115,2.341535446613133,3.7079340212471426,56.73076923076923,-28.521572539236296,7.526787168522575,5,6,fold数不足(2/4)
UP20_SCORE80_NIKKEION_TP4.0_SL1.0_H3,1,1,41,14.237081167815845,14.237081167815845,6.439208915335507,75.0,-7.384340253919808,6.439208915335515,5,6,fold数不足(1/4)
UP25_SCORE80_NIKKEION_TP4.0_SL1.0_H3,1,1,41,14.237081167815845,14.237081167815845,6.439208915335507,75.0,-7.384340253919808,6.439208915335515,5,6,fold数不足(1/4)
UP30_SCORE80_NIKKEION_TP4.0_SL1.0_H3,1,1,41,14.237081167815845,14.237081167815845,6.439208915335507,75.0,-7.384340253919808,6.439208915335515,5,6,fold数不足(1/4)
UP20_SCORE80_NIKKEION_TP3.0_SL1.0_H1,1,1,56,15.754597064796409,15.754597064796409,4.836884134316653,75.0,-7.384340253919808,4.8368841343166435,5,6,fold数不足(1/4)
UP25_SCORE80_NIKKEION_TP3.0_SL1.0_H1,1,1,56,15.754597064796409,15.754597064796409,4.836884134316653,75.0,-7.384340253919808,4.8368841343166435,5,6,fold数不足(1/4)
UP30_SCORE80_NIKKEION_TP3.0_SL1.0_H1,1,1,56,15.754597064796409,15.754597064796409,4.836884134316653,75.0,-7.384340253919808,4.8368841343166435,5,6,fold数不足(1/4)
UP20_SCORE80_NIKKEION_TP3.0_SL1.25_H1,1,1,56,13.71767576888926,13.71767576888926,4.797244876569932,75.0,-9.049831384127335,4.797244876569939,5,6,fold数不足(1/4)
UP25_SCORE80_NIKKEION_TP3.0_SL1.25_H1,1,1,56,13.71767576888926,13.71767576888926,4.797244876569932,75.0,-9.049831384127335,4.797244876569939,5,6,fold数不足(1/4)
UP30_SCORE80_NIKKEION_TP3.0_SL1.25_H1,1,1,56,13.71767576888926,13.71767576888926,4.797244876569932,75.0,-9.049831384127335,4.797244876569939,5,6,fold数不足(1/4)
UP25_SCORE80_NIKKEION_TP2.5_SL1.0_H1,1,1,56,13.87516594917928,13.87516594917928,4.220764933992361,75.0,-7.384340253919808,4.220764933992371,5,6,fold数不足(1/4)
UP30_SCORE80_NIKKEION_TP2.5_SL1.0_H1,1,1,56,13.87516594917928,13.87516594917928,4.220764933992361,75.0,-7.384340253919808,4.220764933992371,5,6,fold数不足(1/4)
UP20_SCORE70_NIKKEION_TP4.0_SL1.0_H1,1,1,93,4.457110348772424,4.457110348772424,3.069623271643401,53.84615384615385,-30.21950951259973,3.0696232716433958,4,6,fold数不足(1/4) / 月間プラス率<55.0%(53.8%)
UP25_SCORE70_NIKKEION_TP4.0_SL1.0_H1,1,1,93,4.457110348772424,4.457110348772424,3.069623271643401,53.84615384615385,-30.21950951259973,3.0696232716433958,4,6,fold数不足(1/4) / 月間プラス率<55.0%(53.8%)
UP30_SCORE70_NIKKEION_TP4.0_SL1.0_H1,1,1,93,4.457110348772424,4.457110348772424,3.069623271643401,53.84615384615385,-30.21950951259973,3.0696232716433958,4,6,fold数不足(1/4) / 月間プラス率<55.0%(53.8%)
UP20_SCORE70_NIKKEION_TP4.0_SL1.25_H1,1,1,93,3.6190730549590375,3.6190730549590375,2.6757115762817607,53.84615384615385,-34.75021487643654,2.6757115762817696,4,6,fold数不足(1/4) / 月間プラス率<55.0%(53.8%)
UP25_SCORE70_NIKKEION_TP4.0_SL1.25_H1,1,1,93,3.6190730549590375,3.6190730549590375,2.6757115762817607,53.84615384615385,-34.75021487643654,2.6757115762817696,4,6,fold数不足(1/4) / 月間プラス率<55.0%(53.8%)
UP30_SCORE70_NIKKEION_TP4.0_SL1.25_H1,1,1,93,3.6190730549590375,3.6190730549590375,2.6757115762817607,53.84615384615385,-34.75021487643654,2.6757115762817696,4,6,fold数不足(1/4) / 月間プラス率<55.0%(53.8%)
UP35_SCORE80_NIKKEION_TP4.0_SL1.25_H1,1,1,81,2.0702712466001545,2.0702712466001545,1.1210665227601695,46.15384615384615,-22.91099655932977,1.1210665227601613,4,6,fold数不足(1/4) / 月間プラス率<55.0%(46.2%)
UP35_SCORE80_NIKKEION_TP4.0_SL1.0_H1,1,1,81,2.0454272458338814,2.0454272458338814,1.104902765301924,46.15384615384615,-25.98641639505601,1.1049027653019294,4,6,fold数不足(1/4) / 月間プラス率<55.0%(46.2%)
UP35_SCORE20_NIKKEION_TP3.5_SL1.0_H1,1,1,77,2.594228823543767,2.594228823543767,1.9704782407308392,46.15384615384615,-44.82351664934744,1.970478240730844,3,6,fold数不足(1/4) / 月間プラス率<55.0%(46.2%) / DD>35.0%(-44.82%)
UP35_SCORE30_NIKKEION_TP3.5_SL1.0_H1,1,1,77,2.594228823543767,2.594228823543767,1.9704782407308392,46.15384615384615,-44.82351664934744,1.970478240730844,3,6,fold数不足(1/4) / 月間プラス率<55.0%(46.2%) / DD>35.0%(-44.82%)
UP35_SCORE40_NIKKEION_TP3.5_SL1.0_H1,1,1,76,2.569606032238467,2.569606032238467,1.9655711929861583,46.15384615384615,-44.82351664934744,1.9655711929861486,3,6,fold数不足(1/4) / 月間プラス率<55.0%(46.2%) / DD>35.0%(-44.82%)
UP35_SCORE40_NIKKEION_TP3.5_SL1.25_H1,1,1,76,2.3497251452599675,2.3497251452599675,1.8483871344474887,53.84615384615385,-47.63457295455476,1.8483871344474823,3,6,fold数不足(1/4) / 月間プラス率<55.0%(53.8%) / DD>35.0%(-47.63%)
UP35_SCORE20_NIKKEION_TP4.0_SL1.0_H1,1,1,77,2.322572590712698,2.322572590712698,1.6618394868103,46.15384615384615,-45.32614097127452,1.6618394868102904,3,6,fold数不足(1/4) / 月間プラス率<55.0%(46.2%) / DD>35.0%(-45.33%)
UP35_SCORE30_NIKKEION_TP4.0_SL1.0_H1,1,1,77,2.322572590712698,2.322572590712698,1.6618394868103,46.15384615384615,-45.32614097127452,1.6618394868102904,3,6,fold数不足(1/4) / 月間プラス率<55.0%(46.2%) / DD>35.0%(-45.33%)
UP35_SCORE40_NIKKEION_TP4.0_SL1.0_H1,1,1,76,2.2983517778149034,2.2983517778149034,1.6528714028298226,46.15384615384615,-45.32614097127452,1.6528714028298142,3,6,fold数不足(1/4) / 月間プラス率<55.0%(46.2%) / DD>35.0%(-45.33%)
UP35_SCORE40_NIKKEION_TP3.5_SL1.5_H1,1,1,76,2.0728801926449885,2.0728801926449885,1.648598181547258,46.15384615384615,-51.89980122369056,1.6485981815472561,3,6,fold数不足(1/4) / 月間プラス率<55.0%(46.2%) / DD>35.0%(-51.90%)
UP35_SCORE20_NIKKEION_TP4.0_SL1.25_H1,1,1,77,2.197873103761572,2.197873103761572,1.636357142433015,46.15384615384615,-48.2271093802103,1.6363571424330203,3,6,fold数不足(1/4) / 月間プラス率<55.0%(46.2%) / DD>35.0%(-48.23%)
UP35_SCORE30_NIKKEION_TP4.0_SL1.25_H1,1,1,77,2.197873103761572,2.197873103761572,1.636357142433015,46.15384615384615,-48.2271093802103,1.6363571424330203,3,6,fold数不足(1/4) / 月間プラス率<55.0%(46.2%) / DD>35.0%(-48.23%)
UP35_SCORE40_NIKKEION_TP4.0_SL1.25_H1,1,1,76,2.175594345149231,2.175594345149231,1.6270537644475738,46.15384615384615,-48.2271093802103,1.6270537644475835,3,6,fold数不足(1/4) / 月間プラス率<55.0%(46.2%) / DD>35.0%(-48.23%)
UP35_SCORE40_NIKKEION_TP4.0_SL1.5_H1,1,1,76,1.934813310112662,1.934813310112662,1.464111149259414,46.15384615384615,-51.89980122369056,1.4641111492594172,3,6,fold数不足(1/4) / 月間プラス率<55.0%(46.2%) / DD>35.0%(-51.90%)
